ItemID,Name,Currently,Buy_Price,First_Bid,Number_Of_Bids,Location,Latitude,Longitude,Country,Started,Ends,UserID,Description
,ENESCO CENTIMENTAL BEARS SET-7 TEDDY BEARS,,,,0,,,,,,,,
,MASON'S PINT CFG**PIC**,,,,0,,,,,,,,
,JIMMY DURANTE BY ESCO DATED 1974,,,,0,,,,,,,,
,Anchor Hocking Fire King Blue Mosaic Snack Se,,,,0,,,,,,,,
,F.A.K.K. 2 JULIE STRAIN Action Figure Excl.,,,,0,,,,,,,,
,BIGELOW SALEMAN SAMPLE 1922 CALENDER,,,,0,,,,,,,,
,1977 Avon California Perfume Anniversary Talc,,,,0,,,,,,,,
,"Baseball theme Heavy Pewter Frame 4 X 5 1/2""",,,,0,,,,,,,,
,PUDDINGS*MIB*,,,,0,,,,,,,,
,Avon Church Mouse Bride and a Groom figurine,,,,0,,,,,,,,
,HALLMARK ADOBE CHURCH 2000 3RD MAGIC,,,,0,,,,,,,,
,Armani DISNEY GOOFY! New in Box! 30%off NR,,,,0,,,,,,,,
,ENESCO MARY'S MOO MOOS COW COUPLE W BABY,,,,0,,,,,,,,
,14-Hallmark Classic cars 91 to 02 + 3 BONUS,,,,0,,,,,,,,
,M Aggies Lidded Ceramic Shot,,,,0,,,,,,,,
,HUM 21/0 Heavenly Angel Tmk 6,,,,0,,,,,,,,
,Duncan Royale Sir Christmas with Staff,,,,0,,,,,,,,
,Wooden Architecture in the Berkshires 1922,,,,0,,,,,,,,
,SWAROVSKI 2000 Christmas Star Ornament,,,,0,,,,,,,,
,AVON THREE WONDERFUL AVON ITEMS,,,,0,,,,,,,,
,Dept. 56 LOMAS LTD. MOLASSES 1993 - MIB,,,,0,,,,,,,,
,Richard Kiel twilight zone autograph 'Hi' A-3,,,,0,,,,,,,,
,P Shakers/NR,,,,0,,,,,,,,
,Kim Anderson's pretty as a picture MUSICAL,,,,0,,,,,,,,
,MEMORIES OF YESTERDAY HOLD IT YOU'RE SWELL,,,,0,,,,,,,,
,Enesco 1990 HERE'S LOOKING AT YOU - Mouse/cam,,,,0,,,,,,,,
,1950's-60's FLOUR SIFTER by WILLOW,,,,0,,,,,,,,
,DISNEY PINOCCHIO COOKIE JAR - FAST SHIPPING!,,,,0,,,,,,,,
,BATMAN no 58 from 1950. Rare,,,,0,,,,,,,,
,VERY NICE BRASS MATCH HOLDER BUCKET,,,,0,,,,,,,,
,MCCOY DAISY COW-- FREE S/H/I,,,,0,,,,,,,,
,THE MIGHTY THOR #215,,,,0,,,,,,,,
,MILK BOTTLE - LEONARD'S DAIRY - NEW YORK,,,,0,,,,,,,,
,Avon-Angel Song/Mandolin w/Unforgettable,,,,0,,,,,,,,
,"PAAP - ""I Promise You An Ocean..."" MIB NR!",,,,0,,,,,,,,
,Our Friendship Blessed Bag Precious Moment,,,,0,,,,,,,,
,X-MEN GRAPHIC NOVEL.GOD LOVES-MAN KILLS NM,,,,0,,,,,,,,
,DBL QUEEN PINK DAMASK BEDSPREAD WITH FRINGE,,,,0,,,,,,,,
,Irene Spencer HUG ME plate on Fairmont - N/R,,,,0,,,,,,,,
,Alpine Village Polka Fest,,,,0,,,,,,,,
,2 My First Precious Moments Baby Doll s MIB,,,,0,,,,,,,,
,Dept. 56 Green Grocer Dickens Village,,,,0,,,,,,,,
,X-MEN Lot 33 - #2,,,,0,,,,,,,,
,417785 Christmas Girl - Limited Edition! NR!,,,,0,,,,,,,,
,PRECIOUS MOMENTS MOUSEPAD,,,,0,,,,,,,,
,LENOX FIRST CHRISTMAS 2000 BABY BOY ORNAMENT,,,,0,,,,,,,,
,DREAMSICLES ANGEL with POINSETTIA BASKET,,,,0,,,,,,,,
,Fantastic Four #79 NR paypal VG,,,,0,,,,,,,,
,Longaberger Baskets CARD KEEPER +PROT + LID,,,,0,,,,,,,,
,Bone china little girl with kittens in barrel,,,,0,,,,,,,,
,SPOONTIQUES CASTLE WITH CYRSTAL CM 986,,,,0,,,,,,,,
,DREAMSICLES SNUGGLE UP TO WINTER FREE SHIPPIN,,,,0,,,,,,,,
,LOT OF WOODEN SPOONS TAKE A LOOK,,,,0,,,,,,,,
,Large Rare Antique Stoneware Jug SHABBY CHIC,,,,0,,,,,,,,
,Ceramic Dad Mug - NIB Reasonably Priced!!,,,,0,,,,,,,,
,Avon-Sunny Time Convertible Fanny Pack,,,,0,,,,,,,,
,All-Flash #23 DC June/1946 Glossy! NR!,,,,0,,,,,,,,
,THE ROCKETEER GN by Dave Stevens 1st ed,,,,0,,,,,,,,
,Precious Moments - SAMMY CIRCUS- SAMMY,,,,0,,,,,,,,
,~~~50~~~8.5x14.5 BUBBLE MAILERS #3~~BUY NOW!!,,,,0,,,,,,,,
,Superman Postcards 1972 Super COOL!!!!!!,,,,0,,,,,,,,
,"WINGS#120-Fiction House,1953 Nice Cover",,,,0,,,,,,,,
,DEP.56 SNOWBABIES I SEE YOU,,,,0,,,,,,,,
,1994 looney tunes hallmark ornaments (5),,,,0,,,,,,,,
,Sweatshirt Fire Dept. F.D.N.Y. Shirt Lg fdny,,,,0,,,,,,,,
,HALLMARK CHILD CARE GIVER 1996,,,,0,,,,,,,,
,"CGC 9.2 NM- MIGHTY HEROES #4, W/ MIGHTY MOUSE",,,,0,,,,,,,,
,Avon's Cape Cod Collection Vase brand new,,,,0,,,,,,,,
,ANRI Ferrandiz rare matched set BAKER COUPLE,,,,0,,,,,,,,
,Precious Moments Figurine ~ My True Love,,,,0,,,,,,,,
,Authentic Avon Quartz Silver/Gold Watch NIB,,,,0,,,,,,,,
,Brown Bag Hearts and Flowers Cookie Stamp,,,,0,,,,,,,,
,NR Hallmark SILVER STAR Train Set of 3 mimb,,,,0,,,,,,,,
,Fabulous Art Deco Chrome w/bakelite CoffeePot,,,,0,,,,,,,,
,D C Comic Superman Family No 177,,,,0,,,,,,,,
,Gold Key: Bonanza 31,,,,0,,,,,,,,
,"PM Wedding Bible Holder ""To Have And To hold""",,,,0,,,,,,,,
,Radko Heritage Santa,,,,0,,,,,,,,
,Hallmark - BAITSHOP WITH BOAT - Pressed Tin,,,,0,,,,,,,,
,Tom Sawyer #12238 Ret. NR,,,,0,,,,,,,,
,Precious Moments Tree Topper 1991 MIB,,,,0,,,,,,,,
,217 80 pg giants VG-FN,,,,0,,,,,,,,
,CHERISHED TEDDIES NICKOLAS,,,,0,,,,,,,,
,!,,,,0,,,,,,,,
,Dept 56 Noel Ornament Girl Caroler,,,,0,,,,,,,,
,Charming Tails~Teamwork Helps!,,,,0,,,,,,,,
,**SHERWOOD FOREST COLLECTION**DAVID WINTER***,,,,0,,,,,,,,
,Photo From Lady!,,,,0,,,,,,,,
,HELLERWARE 3 TIER CHROMIUM TRAY...NICE!!,,,,0,,,,,,,,
,West Germany Beer Stein,,,,0,,,,,,,,
,Precious Moments Cane You Join Us...MIB,,,,0,,,,,,,,
,"Blue Willow MEASURING SPOONS,set of 5",,,,0,,,,,,,,
,Ghostly Tales #68 FN NR :CHECK IT OUT:,,,,0,,,,,,,,
,French Shabby Chic metal shelf shelves tassle,,,,0,,,,,,,,
,Lladro Squirrel Love (Set of 2 figures) Ret.,,,,0,,,,,,,,
,Incredible Hulk: Transformations tpb,,,,0,,,,,,,,
,JERRY lot of *6* old cookie cutters,,,,0,,,,,,,,
,Awesome Radko Batgirl Ornament- NR!!!,,,,0,,,,,,,,
,INDEPENDENT LIFE INS. CO. HYGEIA BABY BOTTLE,,,,0,,,,,,,,
,Julie Andrews THE SOUND OF MUSIC 1st Edition,,,,0,,,,,,,,
,Charming Tails~Flights of Fancy Orn,,,,0,,,,,,,,
,"HANDBLOWN, ETCHED GLASS BRANDY SNIFTER",,,,0,,,,,,,,
,"NP Glacier Gazette, retired, MIB, NR",,,,0,,,,,,,,
,KILLER 1950'S RICKY ROBE !!!,,,,0,,,,,,,,
,Mc Carthy Bumber Stickers !,,,,0,,,,,,,,
,MINT NEW TUPPERWARE HUNTER GREEN 2PCS.,,,,0,,,,,,,,
,WALNUT ANSONIA MANTLE CLOCK 1882,,,,0,,,,,,,,
,FELIX the CAT Magnets,,,,0,,,,,,,,
,ALL FAMOUS POLICE CASES #10 LB COLE CVR 1953,,,,0,,,,,,,,
,"Snowbabies Make A Wish, MIB, NR",,,,0,,,,,,,,
,Wreath,,,,0,,,,,,,,
,Vintage kitchen Lot,,,,0,,,,,,,,
,Elsmore KS Kansas 1895 High School Graduation,,,,0,,,,,,,,
,Thor 241 1975 vfn,,,,0,,,,,,,,
,CHAMPION SPORTS #1 - DC Comic - 1973,,,,0,,,,,,,,
,Homco Circle of Friends FigurineTaste And See,,,,0,,,,,,,,
,NE Vill. BLUE STAR ICE CO. ret Estate Piece,,,,0,,,,,,,,
,YOUTH Detroit Red Wings Leather Jacket 10/12,,,,0,,,,,,,,
,15' PIZZA BAKING STONE +++++,,,,0,,,,,,,,
,50 Sterling STATE INGOTS Franklin Mint NO RES,,,,0,,,,,,,,
,"Radko Jim Henson's ""Fozzie Bear"" baker",,,,0,,,,,,,,
,ANGEL WITH HORN=LG V=WITH BEE=STAMPED GERMANY,,,,0,,,,,,,,
,CGC 9.0 80 PAGE GIANT #8 SECRET ORIGINS VF/NM,,,,0,,,,,,,,
,PRECIOUS MOMENTS--JUST MARRIED MUSICAL BOX,,,,0,,,,,,,,
,Philadelphia 76ers JERRY STACKHOUSE Jersey Bo,,,,0,,,,,,,,
,Charming Tails~REGINALD'S NEWS STAND #87591,,,,0,,,,,,,,
,JOSEF Original Valentine Trinket Box MIB,,,,0,,,,,,,,
,Ace Willie Beginner Magic Book Grab #8,,,,0,,,,,,,,
,KITTEN THREE TINY TREASURES,,,,0,,,,,,,,
,"11 OLD DOILIES, ONE PRICE, NR",,,,0,,,,,,,,
,Star trek:ALL ORNAMENTS 92-2000,,,,0,,,,,,,,
,Harmony Garden Sunflower II,,,,0,,,,,,,,
,WHITE GENTLEMEN GLASS PITCHER MADE IN JAPAN,,,,0,,,,,,,,
,"Hallmark 2001 Sulley,Mike, Boo Monster Inc.",,,,0,,,,,,,,
,&,,,,0,,,,,,,,
